Sentence,Terms
"Regional
Kategori
Event
DOWNLOAD IDN APP SEKARANG!","['Regional', 'Kategori', 'Event', 'DOWNLOAD', 'IDN', 'APP', 'SEKARANG', '!']"
"Kapolri Cup 2024 telah memasuki babak 8 besar dan akan digelar di GOR Terpadu A Yani, Pontianak pada 3-8 Oktober 2024.","['Kapolri', 'Cup', '2024', 'telah', 'memasuki', 'babak', '8', 'besar', 'dan', 'akan', 'digelar', 'di', 'GOR', 'Terpadu', 'A', 'Yani', ',', 'Pontianak', 'pada', '3-8', 'Oktober', '2024', '.']"
"Selanjutnya, kompetisi akan dilanjutkan ke babak semifinal hingga final pada 10-12 Oktober 2024 mendatang.","['Selanjutnya', ',', 'kompetisi', 'akan', 'dilanjutkan', 'ke', 'babak', 'semifinal', 'hingga', 'final', 'pada', '10-12', 'Oktober', '2024', 'mendatang', '.']"
"Sebelumnya, sejumlah tim dari setiap provinsi telah berjuang di babak penyisihan hingga 16 besar.","['Sebelumnya', ',', 'sejumlah', 'tim', 'dari', 'setiap', 'provinsi', 'telah', 'berjuang', 'di', 'babak', 'penyisihan', 'hingga', '16', 'besar', '.']"
"Kini, tersisa delapan tim dari kategori putra dan putri yang akan memperebutkan trofi bergengsi Kapolri Cup 2024.","['Kini', ',', 'tersisa', 'delapan', 'tim', 'dari', 'kategori', 'putra', 'dan', 'putri', 'yang', 'akan', 'memperebutkan', 'trofi', 'bergengsi', 'Kapolri', 'Cup', '2024', '.']"
"Sang juara bertahan, Kalimantan Barat masih menjadi tim yang dijagokan kembali meraih juara di turnamen ini.","['Sang', 'juara', 'bertahan', ',', 'Kalimantan', 'Barat', 'masih', 'menjadi', 'tim', 'yang', 'dijagokan', 'kembali', 'meraih', 'juara', 'di', 'turnamen', 'ini', '.']"
Berikut jadwal lengkap Kapolri Cup 2024 dari babak 8 besar hingga final.,"['Berikut', 'jadwal', 'lengkap', 'Kapolri', 'Cup', '2024', 'dari', 'babak', '8', 'besar', 'hingga', 'final', '.']"
"Pada babak 8 besar Kapolri Cup 2024, delapan tim dari kategori putra dan putri dibagi menjadi dua grup.","['Pada', 'babak', '8', 'besar', 'Kapolri', 'Cup', '2024', ',', 'delapan', 'tim', 'dari', 'kategori', 'putra', 'dan', 'putri', 'dibagi', 'menjadi', 'dua', 'grup', '.']"
Setiap tim akan memainkan tiga pertandingan melawan tim dari satu grup.,"['Setiap', 'tim', 'akan', 'memainkan', 'tiga', 'pertandingan', 'melawan', 'tim', 'dari', 'satu', 'grup', '.']"
"Lalu, masing-masing juara dan runner up dari setiap grup akan melaju ke babak semifinal.","['Lalu', ',', 'masing-masing', 'juara', 'dan', 'runner', 'up', 'dari', 'setiap', 'grup', 'akan', 'melaju', 'ke', 'babak', 'semifinal', '.']"
"Berikut pembagian grup 8 besar Kapolri Cup 2024:
Kategori Putra
Kategori Putri
Berikut jadwal 8 besar Kapolri Cup 2024 dari Kamis, 3 Oktober hingga Selasa, 8 Oktober 2024.","['Berikut', 'pembagian', 'grup', '8', 'besar', 'Kapolri', 'Cup', '2024', ':', 'Kategori', 'Putra', 'Kategori', 'Putri', 'Berikut', 'jadwal', '8', 'besar', 'Kapolri', 'Cup', '2024', 'dari', 'Kamis', ',', '3', 'Oktober', 'hingga', 'Selasa', ',', '8', 'Oktober', '2024', '.']"
"Kamis, 3 Oktober
Jumat, 4 Oktober
Sabtu, 5 Oktober
Minggu, 6 Oktober
Senin, 7 Oktober
Selasa, 8 Oktober
Baca Juga: Profil Hany Budiarti, Serda TNI AU yang Bela Jakarta Pertamina Enduro
Babak semifinal Kapolri Cup 2024 akan digelar di GOR Terpadu A Yani, Pontianak pada Kamis, 10 Oktober 2024.","['Kamis', ',', '3', 'Oktober', 'Jumat', ',', '4', 'Oktober', 'Sabtu', ',', '5', 'Oktober', 'Minggu', ',', '6', 'Oktober', 'Senin', ',', '7', 'Oktober', 'Selasa', ',', '8', 'Oktober', 'Baca', 'Juga', ':', 'Profil', 'Hany', 'Budiarti', ',', 'Serda', 'TNI', 'AU', 'yang', 'Bela', 'Jakarta', 'Pertamina', 'Enduro', 'Babak', 'semifinal', 'Kapolri', 'Cup', '2024', 'akan', 'digelar', 'di', 'GOR', 'Terpadu', 'A', 'Yani', ',', 'Pontianak', 'pada', 'Kamis', ',', '10', 'Oktober', '2024', '.']"
"Berikut jadwal semifinal Kapolri Cup 2024:
Kemudian pertandingan perebutan peringkat tiga dan final Kapolri Cup 2024 akan diadakan pada 11 dan 12 Oktober 2024.","['Berikut', 'jadwal', 'semifinal', 'Kapolri', 'Cup', '2024', ':', 'Kemudian', 'pertandingan', 'perebutan', 'peringkat', 'tiga', 'dan', 'final', 'Kapolri', 'Cup', '2024', 'akan', 'diadakan', 'pada', '11', 'dan', '12', 'Oktober', '2024', '.']"
"Baca Juga: Profil Yolla Yuliana, Atlet Voli Populer yang Berprestasi
Pertandingan Kapolri Cup 2024 disiarkan langsung di Vidio dan Moji TV.","['Baca', 'Juga', ':', 'Profil', 'Yolla', 'Yuliana', ',', 'Atlet', 'Voli', 'Populer', 'yang', 'Berprestasi', 'Pertandingan', 'Kapolri', 'Cup', '2024', 'disiarkan', 'langsung', 'di', 'Vidio', 'dan', 'Moji', 'TV', '.']"
Masyarakat bisa menonton siaran langsungnya secara gratis di Moji TV melalui TV digital.,"['Masyarakat', 'bisa', 'menonton', 'siaran', 'langsungnya', 'secara', 'gratis', 'di', 'Moji', 'TV', 'melalui', 'TV', 'digital', '.']"
"Selain itu, pencinta voli juga bisa menonton live streaming Kapolri Cup 2024 melalui Vidio dengan membeli paket berlangganan seharga Rp39 ribu per bulan.","['Selain', 'itu', ',', 'pencinta', 'voli', 'juga', 'bisa', 'menonton', 'live', 'streaming', 'Kapolri', 'Cup', '2024', 'melalui', 'Vidio', 'dengan', 'membeli', 'paket', 'berlangganan', 'seharga', 'Rp39', 'ribu', 'per', 'bulan', '.']"
"Berikut cara nonton Kapolri Cup 2024 di Vidio:
Itulah tadi jadwal lengkap Kapolri Cup 2024 dari babak 8 besar hingga final.","['Berikut', 'cara', 'nonton', 'Kapolri', 'Cup', '2024', 'di', 'Vidio', ':', 'Itulah', 'tadi', 'jadwal', 'lengkap', 'Kapolri', 'Cup', '2024', 'dari', 'babak', '8', 'besar', 'hingga', 'final', '.']"
"Dukung tim jagoanmu, ya!","['Dukung', 'tim', 'jagoanmu', ',', 'ya', '!']"
"Baca Juga: Profil Nurlaili Kusumah, Pevoli Sekaligus TNI AL di Proliga 2024","['Baca', 'Juga', ':', 'Profil', 'Nurlaili', 'Kusumah', ',', 'Pevoli', 'Sekaligus', 'TNI', 'AL', 'di', 'Proliga', '2024']"
